who;occupation;when;quote;source;link;measurable_prediction;timeframe;date_to_check;tag;future_or_current
Ray Kurzweil;Principal Researcher and AI Visionary at Google;2005-09-22;"Once we've succeeded in creating a machine that can pass the Turing test (around 2029)";The Singularity is Near;https://www.goodreads.com/book/show/83518.The_Singularity_is_Near;Passing a valid Turing Test: Demonstrating the ability to hold conversations indistinguishable from a human. Achieving human-level performance in a wide range of cognitive tasks. Matching the intellectual capabilities of humans in virtually all domains.;by 2029;2029-12-31;agi;future
Dario Amodei;CEO of Anthropic;2025-05-28;"AI could wipe out half of all entry-level white-collar jobs - and spike unemployment to 10-20% in the next one to five years.";Axios;https://www.axios.com/2025/05/28/ai-jobs-white-collar-unemployment-anthropic;Unemployment rate reaching 10-20% due to AI job displacement.;next one to five years;2029-05-28;jobs;future
Sam Altman;CEO of OpenAI;2025-01-06;"We are now confident we know how to build AGI as we have traditionally understood it. We believe that, in 2025, we may see the first AI agents “join the workforce” and materially change the output of companies.";Personal blog;https://blog.samaltman.com/reflections;AGI materializing, with machines performing tasks across diverse fields with human-like proficiency.;by 2025;2025-12-31;agents;future
Mark Zuckerberg;CEO of Meta;2025-04-29;"I would guess sometime in the next 12 to 18 months, we'll reach the point where most of the code that's going towards these efforts is written by AI, and I don't mean like autocomplete... I'm talking more like you give it a goal, it can run tests, it can improve things, it can find issues, it writes higher quality code than the average very good person on the team already.";Podcast with Dwarkesh Patel;https://www.youtube.com/watch?v=rYXeQbTuVl0&ab_channel=DwarkeshPatel;AI writing code autonomously, achieving a level of quality surpassing that of skilled human programmers.;within 12 to 18 months;2026-10-29;code;future
Mark Zuckerberg;CEO of Meta;2025-01-10;"Probably in 2025, we at Meta, as well as the other companies that are basically working on this, are going to have an AI that can effectively be a sort of mid-level engineer that you have at your company that can write code.";Podcast with Joe Rogan;https://open.spotify.com/episode/3kDr0LcmqOHOz3mBHMdDuV;AI achieving the capabilities of a mid-level engineer, capable of writing code and contributing to software development projects.;by 2025;2025-12-31;code;future
Geoffrey Hinton;Nobel Prize-winning scientist, Godfather of AI;2025-03-14;“In between 5 and 20 years from now there’s a good chance a 50% chance we’ll get AI smarter than us,”;Official interview after winning the Nobel Prize;https://www.youtube.com/watch?app=desktop&v=66WiF8fXL0k&ab_channel=NobelPrize;AI surpassing human intelligence, with a 50% chance of this occurring within the next 5 to 20 years.;within 5 to 20 years;2045-03-14;asi;future
Yoshua Bengio;Turing Award winner, Godfather of AI;2023-06-24;"My current estimate places a 95% confidence interval for the time horizon of superhuman intelligence at 5 to 20 years.";Reflections;https://yoshuabengio.org/2023/06/24/faq-on-catastrophic-ai-risks/;Superhuman intelligence achieved within the next 5 to 20 years.;within 5 to 20 years;2043-06-24;asi;future
Sam Altman;CEO of OpenAI;2024-09-23;"It is possible that we will have superintelligence in a few thousand days (!), it may take longer, but I’m confident we’ll get there.";The Intelligence Age;https://ia.samaltman.com/;Superintelligence achieved within a few thousand days.;within a few thousand days;2029-09-23;asi;future
Demis Hassabis;CEO of Deepmind;2025-03-17;"I think over the next five to 10 years, a lot of those capabilities will start coming to the fore and we’ll start moving towards what we call artificial general intelligence,";CNBC;https://www.cnbc.com/2025/03/17/human-level-ai-will-be-here-in-5-to-10-years-deepmind-ceo-says.html;Human-level AI achieved within the next 5 to 10 years, with capabilities approaching AGI.;within 5 to 10 years;2035-03-17;agi;future
Shane Legg;Co-founder of Deepmind;2023-10-26;"I’ve decided to once again leave my prediction for when human level AGI will arrive unchanged.  That is, I give it a log-normal distribution with a mean of 2028 and a mode of 2025, under the assumption that nothing crazy happens like a nuclear war.";Podcast with Dwarkesh Patel;https://www.dwarkesh.com/p/shane-legg;Human-level AGI achieved with a mean prediction of 2028 and a mode of 2025, assuming no catastrophic events.;by 2028;2028-12-31;agi;future
